kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.74,KOTA PROBOLINGGO,691,66,201,5,2,0,0,2020-04-14 12:42:10,"-7,7723105","113,1664559"
35.11,KAB. BONDOWOSO,28,9740,868,2,1,0,0,2020-04-14 12:42:59,"-8,0284796","114,0265067"
35.26,KAB. BANGKALAN,14356,196,586,3,4,0,0,2020-04-14 12:21:48,"-7,0234914","112,7519820"
35.79,KOTA BATU,950,57,127,12,2,1,0,2020-04-14 11:08:45,"-7,8769031","112,4998848"
35.08,KAB. LUMAJANG,3000,162,284,21,8,0,2,2020-04-14 10:25:23,"-8,1295529","113,2236942"
35.29,KAB. SUMENEP,21516,13,146,0,0,0,0,2020-04-13 15:48:14,"-7,0095355","113,8495442"
35.01,KAB. PACITAN,12202,10,487,4,1,0,0,2020-04-13 15:32:21,"-8,1318878","111,2278873"
35.22,KAB. BOJONEGORO,14049,47,124,0,3,0,1,2020-04-13 16:34:11,"-7,1524790","111,8869290"
35.19,KAB. MADIUN,400,352,224,7,3,1,0,2020-04-13 15:38:41,"-7,6666455","111,5912452"
35.14,KAB. PASURUAN,283,33,91,26,10,0,0,2020-04-13 14:31:55,"-7,7514338","112,8700750"
35.12,KAB. SITUBONDO,3058,102,248,21,11,5,0,2020-04-13 14:32:21,"-7,7168478","113,9278534"
35.24,KAB. LAMONGAN,31016,289,236,100,24,0,0,2020-04-13 14:36:23,"-7,1181110","112,4149810"
35.28,KAB. PAMEKASAN,5035,5035,140,2,3,0,1,2020-04-13 14:25:16,"-7,1548002","113,4379637"
35.71,KOTA KEDIRI,1151,72,160,6,6,1,0,2020-04-13 14:04:57,"-7,8228400","112,0118640"
35.15,KAB. SIDOARJO,626,543,445,106,39,5,6,2020-04-13 17:10:42,"-7,4338023","112,6734275"
35.17,KAB. JOMBANG,6538,174,471,4,7,0,0,2020-04-13 15:41:33,"-7,5567779","112,2489964"
35.73,KOTA MALANG,1047,153,460,77,8,4,0,2020-04-13 14:00:38,"-7,9786395","112,5617416"
35.06,KAB. KEDIRI,9059,254,370,29,12,2,4,2020-04-13 13:52:41,"-7,8332959","112,1666262"
35.02,KAB. PONOROGO,11532,95,341,20,6,0,0,2020-04-13 13:51:37,"-7,8756185","111,4692888"
35.10,KAB. BANYUWANGI,3307,125,577,9,3,1,1,2020-04-13 13:50:51,"-8,4169235","114,3311312"
35.09,KAB. JEMBER,12143,137,861,22,3,1,0,2020-04-13 13:50:23,"-8,3951516","113,6809395"
35.20,KAB. MAGETAN,269,1,124,16,10,8,1,2020-04-13 13:44:55,"-7,6774309","111,3616371"
35.78,KOTA SURABAYA,4137,431,1398,523,208,39,20,2020-04-13 17:08:38,"-7,2756141","112,6426424"
35.74,KOTA PROBOLINGGO,671,66,200,5,2,0,0,2020-04-13 13:42:34,"-7,7723105","113,1664559"
35.72,KOTA BLITAR,964,13,148,2,1,1,0,2020-04-13 13:42:25,"-8,1031510","112,1626800"
35.27,KAB. SAMPANG,11472,6,301,0,0,0,0,2020-04-13 13:47:03,"-7,1927155","113,2429293"
35.04,KAB. TULUNGAGUNG,7081,95,892,131,14,0,0,2020-04-13 16:17:08,"-7,7455014","111,8953035"
35.03,KAB. TRENGGALEK,16069,7,692,10,1,0,0,2020-04-13 13:33:24,"-8,176848","111,610650"
35.05,KAB. BLITAR,763,16,605,8,1,1,0,2020-04-13 13:33:13,"-8,2814419","112,3027620"
35.23,KAB. TUBAN,10653,88,469,9,3,0,1,2020-04-13 16:25:03,-6.899108667900085,111.763916015625
35.76,KOTA MOJOKERTO,712,1,195,6,0,0,0,2020-04-13 13:23:24,"-7,4714887","112,4217213"
35.21,KAB. NGAWI,16316,10,227,11,0,0,0,2020-04-13 13:21:16,"-7,4324690","111,2547392"
35.25,KAB. GRESIK,847,137,1057,84,17,2,1,2020-04-13 17:08:09,"-7,1610846","112,6220300"
35.75,KOTA PASURUAN,644,17,61,2,2,0,1,2020-04-13 13:38:06,"-7,6514338","112,8700750"
35.07,KAB. MALANG,1369,64,229,90,11,4,1,2020-04-13 13:04:24,-8.2084395,"112,7468452"
